=== SHEET: Flag Definitions ===
#,Flag Code,Title,Priority,Category,Entity Scope,Status,Auto Resolve,Manual,Description,Trigger Logic,Data Fields Checked,Dec Page Section,Suppression Rules,Notes,Column1,
11,NO_DIC,DIC Not on File,High,DIC,Policy,Active,No,No,DIC coverage is not on file for this policy term.,"Checks policy_term.dic_exists boolean. Fires if dic_exists is explicitly False. Also checks extracted_data.dic_exists for string values ""false"", ""no"", ""0"".","policy_terms.dic_exists, extracted_data.dic_exists",DIC / Additional Coverage,None,Does NOT auto-resolve — agent must manually confirm DIC status.,,"If new dec page (endorsment) uploaded, autoresolve. Add code. Add medium-high"
12,DWELLING_RC_NOT_INCLUDED,Dwelling RC Not Included,High,Coverage Gap,Policy,Active,No,No,Dwelling replacement cost is not included.,"Fires when ""limit_dwelling_replacement_cost"" exists but equals ""not included"", ""no"", ""false"", or ""excluded"" (case-insensitive). SUPPRESSED for mobile/manufactured + SPC/Unit.","extracted_data.limit_dwelling_replacement_cost, extracted_data.construction_type, extracted_data.property_location",Coverages — Dwelling Replacement Cost,Same RC suppression: mobile/manufactured + SPC/Unit addresses.,"Only fires when the field EXISTS but value indicates RC is not included. If missing entirely, MISSING_DWELLING_REPLACEMENT_COST fires instead.",,Repeat flag
13,DWELLING_RC_INCLUDED_LOW_ORDINANCE,"RC Included, Low Ordinance/Law",Medium,Coverage Gap,Policy,Active,Yes,No,Replacement cost included but ordinance/law is low.,"Two-step: (1) Checks ""limit_dwelling_replacement_cost"" contains ""included"" or ""yes"". (2) If RC IS included, checks ""limit_ordinance_or_law"" — fires if missing OR if numeric value < 10 (percent or dollar). SUPPRESSED for mobile/manufactured + SPC/Unit.","extracted_data.limit_dwelling_replacement_cost, extracted_data.limit_ordinance_or_law, extracted_data.construction_type, extracted_data.property_location",Coverages — Dwelling RC + Ordinance or Law,Same RC suppression: mobile/manufactured + SPC/Unit addresses.,,,
14,FAIR_RENTAL_VALUE_ZERO_OR_MISSING,Fair Rental Value Zero or Missing,High,Coverage Gap,Policy,Active,Yes,No,Fair rental value coverage is $0 or missing.,"Fires when ""limit_fair_rental_value"" is null/empty (→ ""missing"") OR when it parses to a numeric value ≤ 0 after stripping $ and commas.",extracted_data.limit_fair_rental_value,Coverages — Fair Rental Value,None,,,
15,INFLATION_GUARD_NOT_INCLUDED,Inflation Guard Not Included,Medium,Coverage Gap,Policy,Active,Yes,No,Inflation guard is not included or missing.,"Fires when ""limit_inflation_guard"" is null, empty, or equals ""not included"", ""no"", ""false"", ""excluded"", ""0"", ""$0"", ""$0.00"", ""none"" (case-insensitive).",extracted_data.limit_inflation_guard,Coverages — Inflation Guard,None,,,
16,ECM_PREMIUM_MISSING_OR_ZERO,Premium Missing or Zero,High,Data Quality,Policy,Active,Yes,No,Annual premium is missing or $0.,"Checks ""total_annual_premium"" (extracted) OR ""annual_premium"" (from policy_terms table). Fires if both are missing, OR if the value parses to ≤ 0.","extracted_data.total_annual_premium, policy_terms.annual_premium",Premium Summary,None,,,Remove entirely 
17,RENEWAL_UPCOMING,Renewal Upcoming,Low,Renewal,Policy,Active,Yes,No,Policy term expires within 21 days.,"Checks ""expiration_date"" from policy_terms table, or ""policy_period_end"" from extracted_data. Parses the date and calculates days until expiration. Fires when 0 ≤ days_until ≤ 21.","policy_terms.expiration_date, extracted_data.policy_period_end",Policy Period / Term Dates,None,"Auto-resolves once the expiration date is > 21 days away (e.g., after renewal is processed with new term).",,"We can remove flag, but im emphasizing that we still need these hard checked and its own section"
18,OTHER_STRUCTURES_ZERO,Other Structures $0,High,Coverage Gap,Policy,Active,Yes,No,Other structures coverage is $0.,"Fires when ""limit_other_structures"" exists (non-null) AND parses to a numeric value ≤ 0 after stripping $ and commas. Does NOT fire if field is missing (that would be a separate missing-field rule).",extracted_data.limit_other_structures,Coverages — Coverage B (Other Structures),None,,,Flag only if we found oteht rsturctures during enrishment
19,PERSONAL_PROPERTY_ZERO_OWNER_OCCUPIED,Personal Property $0 (Owner-Occupied),Low,Coverage Gap,Policy,Active,Yes,No,Personal property is $0 for owner-occupied property.,"Two-step: (1) Checks ""occupancy"" — only fires for owner-occupied (string contains ""owner""). If occupancy is tenant or rental, skips. (2) Checks ""limit_personal_property"" — fires if it exists and parses to ≤ 0.","extracted_data.occupancy, extracted_data.limit_personal_property",Occupancy + Coverages — Coverage C,"Skipped entirely if occupancy does not contain ""owner"".","$0 personal property is normal for landlord/rental policies, but suspicious for owner-occupied.",,Repeat flag
20,MOBILE_OR_MANUFACTURED_WITH_RC_INCLUDED,Mobile/Manufactured Home w/ RC Included,Low,Coverage Gap,Policy,Active,No,No,Mobile/manufactured home has replacement cost included.,"Two-step: (1) Checks ""construction_type"" for ""mobile"" or ""manufactured"" (case-insensitive). (2) Checks ""limit_dwelling_replacement_cost"" for ""included"" or ""yes"". Fires only if BOTH are true.","extracted_data.construction_type, extracted_data.limit_dwelling_replacement_cost",Property Info (Construction Type) + Coverages (Dwelling RC),"None (this IS the mobile-home check, not suppressed).",Does NOT auto-resolve — agent should verify if RC eligibility is accurate for mobile/manufactured.,,Cant happen anyway so remove flag
21,ROOF_AGE_OVER_25_WITH_RC_INCLUDED,Roof Age >25 Years w/ RC Included,Low,Coverage Gap,Policy,Active,No,No,Structure >25 years old with replacement cost included.,"Multi-step: (1) Checks ""dwelling_replacement_cost_included"" for ""yes""/""true""/""included""/""1"". (2) If RC is included, looks up year_built — first from property_enrichments DB table (field_key=""year_built""), then falls back to extracted_data.year_built. (3) Calculates roof_age = current_year − year_built. Fires if roof_age ≥ 25.","extracted_data.dwelling_replacement_cost_included, property_enrichments.year_built (DB lookup), extracted_data.year_built",Coverages (Dwelling RC) + Property Info (Year Built) + Enrichment Data,None,"Uses enrichment data (from property data enrichment pipeline) as the primary source for year_built, with parsed dec page data as a fallback.",,"Change into If roof is less than 25 years AND NO replacement cost, then flag"
22,DUPLICATE_ID_IN_TABLE,Possible Duplicate Policy,Low,Duplicate,Policy,Active,No,No,Another policy exists with the same policy number.,Queries the policies DB table for any other policy (different id) with the same policy_number. Fires if ≥ 1 match is found. Returns count of duplicates found.,extracted_data.policy_number → DB lookup: policies.policy_number (excluding current policy),Header / Policy Number,None,Does NOT auto-resolve — requires agent to manually verify if the duplicate is real or a false positive.,,
23,PARSER_EXTRACTION_FAILURE,Extraction Failure,Low,Parser,Policy,Active,Yes,No,Document parser could not extract one or more fields.,Created by the ingestion pipeline when the parser returns a non-empty missing_fields list. This is a system-level flag indicating partial extraction.,missing_fields[] (the entire list from the parser),N/A — System-level flag,None,"Auto-resolves on successful re-parse. Defined in seed SQL but triggered by the pipeline, not the flag evaluator rules directly.",,
24,MANUAL_FLAG,Manual Flag,Low,Manual,Policy,Active,No,Yes,Staff-created flag for any purpose.,Manually created by an agent/admin through the UI. No automated trigger — agent chooses when to create.,N/A — Agent discretion,N/A — Manual,None,Can be dismissed by any agent. Not auto-resolved.,,
25,MANUAL_CLIENT_FLAG,Manual Client Flag,Low,Manual,Client,Active,No,Yes,Staff-created flag on a client.,Manually created by an agent/admin through the UI. Scoped to a client record rather than a specific policy.,N/A — Agent discretion,N/A — Manual,None,Can be dismissed by any agent. Not auto-resolved.,,
26,MISSING_EMAIL,Missing Client Email,Low,Data Quality,Client,Deferred,Yes,No,Client has no email on file.,DEFERRED — Not currently evaluated. Will check clients.email when clients table has email column reliably populated.,clients.email (future),N/A — Client record,None,Waiting on clients table schema update to add reliable email field.,,
27,MISSING_PHONE,Missing Client Phone,Low,Data Quality,Client,Deferred,Yes,No,Client has no phone on file.,DEFERRED — Not currently evaluated. Will check clients.phone when clients table has phone column reliably populated.,clients.phone (future),N/A — Client record,None,Waiting on clients table schema update to add reliable phone field.,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Add flags for 'Perils Insured Against': Should always be present. High prio,,,,,,,,,,,,,,
,,Flag if debris removal is not present. High prio,,,,,,,,,,,,,,
,,Decks and Solar panels nbeed to be categorized as Other Structures. Flag Add into flag logic,,,,,,,,,,,,,,
,,REMOVE 'CFP DECLARATION PLATFORM' from SEO google search,,,,,,,,,,,,,,
